"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"cf. Rumex","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Saxifraga oppositifolia","NISP","pollen","NA","Vascular plants","UPHE","cf. Saxifraga oppositifolia","NA"
"cf. Saxifragaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Thalictrum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Thalictrum","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Tidestromia","NISP","pollen","NA","Vascular plants","UPHE","cf. Tidestromia","NA"
"cf. Urtica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Veronicastrum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Veronicastrum virginicum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Chamaenerion latifolium","NISP","pollen","NA","Vascular plants","UPHE","Chamaenerion latifolium","NA"
"Chamaesyce","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Chamaesyce-type","NISP","pollen","NA","Vascular plants","UPHE","Chamaesyce-type","NA"
"Chenopodiaceae sensu stricto","NISP","pollen","NA","Vascular plants","UPHE","Chenopodiaceae sensu stricto","NA"
"Chenopodium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Chenopodium-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Chrysosplenium","NISP","pollen","NA","Vascular plants","UPHE","Chrysosplenium","NA"
"Chrysosplenium-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cirsium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cirsium-type","NISP","pollen","NA","Vascular plants","UPHE","Cirsium-type","NA"
"Comandra","NISP","pollen","NA","Vascular plants","UPHE","Comandra","NA"
"Crassulaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cuscuta","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cyclachaena xanthiifolia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cyclachaena xanthiifolia-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cyperaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cyperaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cyperaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Cyperaceae undiff.","NA"
"Dalea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Dalea candida","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Dalea candida-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Dalea purpurea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Dalea purpurea-type","NISP","pollen","NA","Vascular plants","UPHE","Dalea purpurea-type","NA"
"Dalea undiff.","NISP","pollen","NA","Vascular plants","UPHE","Dalea undiff.","NA"
"Dicentra","NISP","pollen","NA","Vascular plants","UPHE","Dicentra","NA"
"Dracocephalum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Dryas","NISP","pollen","NA","Vascular plants","UPHE","Dryas","NA"
"Dryas-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Elymus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Epilobium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Epilobium-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Eriogonum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Eupatorium","NISP","pollen","NA","Vascular plants","UPHE","Eupatorium","NA"
"Euphorbia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Euphorbiaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Euphorbiaceae cf. Chamaesyce","NISP","pollen","NA","Vascular plants","UPHE","Euphorbiaceae cf. Chamaesyce","NA"
"Fabaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae cf. Melilotus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae cf. Melilotus officinalis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae cf. Oxytropis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae cf. tribe Psoraleeae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae cf. Trifolium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae tribe Psoraleeae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fabaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fagopyrum","NISP","pollen","NA","Vascular plants","UPHE","Fagopyrum","NA"
"Fallopia convolvulus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Fallopia convolvulus-type","NISP","pollen","NA","Vascular plants","UPHE","Fallopia convolvulus-type","NA"
"Filipendula","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Filipendula rubra","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Galium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Galium-type","NISP","pollen","NA","Vascular plants","UPHE","Galium-type","NA"
"Gentiana","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Gentiana andrewsii-type","NISP","pollen","NA","Vascular plants","UPHE","Gentiana andrewsii-type","NA"
"Gentiana puberulenta-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Gentianaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Geranium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Geum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Geum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Hedysarum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Helianthus","NISP","pollen","NA","Vascular plants","UPHE","Helianthus","NA"
"Houstonia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Humulus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Humulus lupulus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Humulus-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Humulus/Cannabis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Humulus/Cannabis sativa","NISP","pollen","NA","Vascular plants","UPHE","Humulus/Cannabis sativa","NA"
"Hydrophyllum","NISP","pollen","NA","Vascular plants","UPHE","Hydrophyllum","NA"
"Hydrophyllum cf. H. virginianum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Hydrophyllum virginianum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Hypericum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Hypoxis","NISP","pollen","NA","Vascular plants","UPHE","Hypoxis","NA"
"Hypoxis hirsuta","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Impatiens","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Impatiens capensis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ipomoea","NISP","pollen","NA","Vascular plants","UPHE","Ipomoea","NA"
"Iridaceae","NISP","pollen","NA","Vascular plants","UPHE","Iridaceae","NA"
"Iris","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Iva","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Iva annua","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Iva annua-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Iva undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Knautia","NISP","pollen","NA","Vascular plants","UPHE","Knautia","NA"
"Koenigia islandica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lamiaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lamiaceae cf. Stachys","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lamiaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Laportea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Laportea-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lathyrus-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Liliaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Liliaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lilium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lilium philadelphicum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lilium philadelphicum-type","NISP","pollen","NA","Vascular plants","UPHE","Lilium philadelphicum-type","NA"
"Linaria","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Linnaea borealis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Linum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Linum cf. L. usitatissimum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Listera","NISP","pollen","NA","Vascular plants","UPHE","Listera","NA"
"Lotus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lycopus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lycopus-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lysimachia","NISP","pollen","NA","Vascular plants","UPHE","Lysimachia","NA"
"Lysimachia ciliata-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lysimachia quadriflora-type","NISP","pollen","NA","Vascular plants","UPHE","Lysimachia quadriflora-type","NA"
"Lysimachia thyrsiflora","NISP","pollen","NA","Vascular plants","UPHE","Lysimachia thyrsiflora","NA"
"Lythraceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Lythrum","NISP","pollen","NA","Vascular plants","UPHE","Lythrum","NA"
"Lythrum alatum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Maianthemum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Maianthemum trifolia-type","NISP","pollen","NA","Vascular plants","UPHE","Maianthemum trifolia-type","NA"
"Malvaceae sensu stricto","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Malvaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Malvaceae undiff.","NA"
"Medicago","NISP","pollen","NA","Vascular plants","UPHE","Medicago","NA"
"Medicago sativa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Melilotus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Melilotus-type","NISP","pollen","NA","Vascular plants","UPHE","Melilotus-type","NA"
"Menispermaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mentha","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mentha-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mertensia-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Micranthes cf. M. virginiensis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mimulus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mitella","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Mitella-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Monotropa uniflora","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Montia","NISP","pollen","NA","Vascular plants","UPHE","Montia","NA"
"Muscari","NISP","pollen","NA","Vascular plants","UPHE","Muscari","NA"
"Myosotis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Onagraceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Onosmodium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Oxalidaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Oxalis","NISP","pollen","NA","Vascular plants","UPHE","Oxalis","NA"
"Oxyria digyna","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Oxytropis","NISP","pollen","NA","Vascular plants","UPHE","Oxytropis","NA"
"Papaveraceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Parietaria","NISP","pollen","NA","Vascular plants","UPHE","Parietaria","NA"
"Parietaria-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Parnassia","NISP","pollen","NA","Vascular plants","UPHE","Parnassia","NA"
"Pedicularis","NISP","pollen","NA","Vascular plants","UPHE","Pedicularis","NA"
"Pediomelum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Penthorum sedoides","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Persicaria amphibia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Persicaria amphibia-type","NISP","pollen","NA","Vascular plants","UPHE","Persicaria amphibia-type","NA"
"Persicaria lapathifolia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Persicaria lapathifolia-type","NISP","pollen","NA","Vascular plants","UPHE","Persicaria lapathifolia-type","NA"
"Persicaria maculosa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Persicaria maculosa-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phacelia cf. P. franklinii","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phacelia hastata-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phlox","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phlox cf. P. hoodii","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phlox pilosa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Phlox pilosa-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Pilea-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago cf. P. major","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago lanceolata","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago lanceolata-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago major","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago major-type","NISP","pollen","NA","Vascular plants","UPHE","Plantago major-type","NA"
"Plantago major/P. media","NISP","pollen","NA","Vascular plants","UPHE","Plantago major/P. media","NA"
"Plantago rugelii","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Plantago undiff.","NISP","pollen","NA","Vascular plants","UPHE","Plantago undiff.","NA"
"Poaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Poaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Poaceae cf. Zea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Poaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polemoniaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polemonium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygala","NISP","pollen","NA","Vascular plants","UPHE","Polygala","NA"
"Polygalaceae","NISP","pollen","NA","Vascular plants","UPHE","Polygalaceae","NA"
"Polygonaceae (tricolporate)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonum (tricolporate)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonum aviculare","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonum aviculare-type","NISP","pollen","NA","Vascular plants","UPHE","Polygonum aviculare-type","NA"
"Polygonum sensu lato","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Polygonum sensu lato undiff.","NISP","pollen","NA","Vascular plants","UPHE","Polygonum sensu lato undiff.","NA"
"Polygonum undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Portulaca","NISP","pollen","NA","Vascular plants","UPHE","Portulaca","NA"
"Potentilla","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Potentilla-type","NISP","pollen","NA","Vascular plants","UPHE","Potentilla-type","NA"
"Primula","NISP","pollen","NA","Vascular plants","UPHE","Primula","NA"
"Primula farinosa-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Primulaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Primulaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Prunella-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Prunus/Sorbus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculaceae (tricolpate)","NISP","pollen","NA","Vascular plants","UPHE","Ranunculaceae (tricolpate)","NA"
"Ranunculaceae (tricolpate) undiff.","NISP","pollen","NA","Vascular plants","UPHE","Ranunculaceae (tricolpate) undiff.","NA"
"Ranunculaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus flabellaris","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus flabellaris-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus sp.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ranunculus-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rhinanthus","NISP","pollen","NA","Vascular plants","UPHE","Rhinanthus","NA"
"Rosa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rosa-type","NISP","pollen","NA","Vascular plants","UPHE","Rosa-type","NA"
"Rosaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rosaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rubiaceae (pentacolpate)","NISP","pollen","NA","Vascular plants","UPHE","Rubiaceae (pentacolpate)","NA"
"Rubiaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rumex","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rumex acetosa-type","NISP","pollen","NA","Vascular plants","UPHE","Rumex acetosa-type","NA"
"Rumex cf. R. britannica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rumex cf. R. mexicanus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rumex cf. R. salicifolius","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Rumex cf. R. verticillatus","NISP","pollen","NA","Vascular plants","UPHE","Rumex cf. R. verticillatus","NA"
"Rumex undiff.","NISP","pollen","NA","Vascular plants","UPHE","Rumex undiff.","NA"
"Rumex-type undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Sagina","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Salsola","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Salsola kali","NISP","pollen","NA","Vascular plants","UPHE","Salsola kali","NA"
"Sanguinaria canadensis","NISP","pollen","NA","Vascular plants","UPHE","Sanguinaria canadensis","NA"
"Sanguisorba","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Sanguisorba canadensis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Sanguisorba-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Sanicula","NISP","pollen","NA","Vascular plants","UPHE","Sanicula","NA"
"Sarcobatus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga oppositifolia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga oppositifolia","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga oppositifolia-type","NISP","pollen","NA","Vascular plants","UPHE","Saxifraga oppositifolia-type","NA"
"Saxifraga undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifraga-type","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifragaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Saxifragaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Scrophularia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Scrophulariaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Scutellaria cf. S. galericulata","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Scutellaria-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Secale","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Secale-type","NISP","pollen","NA","Vascular plants","UPHE","Secale-type","NA"
"Sinapis arvensis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Sisyrinchium","NISP","pollen","NA","Vascular plants","UPHE","Sisyrinchium","NA"
"Sium-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Solanaceae","NISP","pollen","NA","Vascular plants","UPHE","Solanaceae","NA"
"Solanum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Solanum rostratum","NISP","pollen","NA","Vascular plants","UPHE","Solanum rostratum","NA"
"Spergularia-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Stachys","NISP","pollen","NA","Vascular plants","UPHE","Stachys","NA"
"Stachys-type","NISP","pollen","NA","Vascular plants","UPHE","Stachys-type","NA"
"Stellaria","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Suaeda","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Suaeda calceoliformis","NISP","pollen","NA","Vascular plants","UPHE","Suaeda calceoliformis","NA"
"Taraxacum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Taraxacum-type","NISP","pollen","NA","Vascular plants","UPHE","Taraxacum-type","NA"
"Thalictrum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum cf. T. dasycarpum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum cf. T. dioicum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum confine-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum dasycarpum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum dioicum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum venulosum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Thalictrum-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Tidestromia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Tidestromia lanuginosa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Tidestromia-type","NISP","pollen","NA","Vascular plants","UPHE","Tidestromia-type","NA"
"Tofieldia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Tofieldia pusilla","NISP","pollen","NA","Vascular plants","UPHE","Tofieldia pusilla","NA"
"Triantha glutinosa","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Trientalis","NISP","pollen","NA","Vascular plants","UPHE","Trientalis","NA"
"Trifolium","NISP","pollen","NA","Vascular plants","UPHE","Trifolium","NA"
"Trifolium cf. T. pratense","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Trifolium pratense","NISP","pollen","NA","Vascular plants","UPHE","Trifolium pratense","NA"
"Trifolium pratense-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Trifolium repens","NISP","pollen","NA","Vascular plants","UPHE","Trifolium repens","NA"
"Trifolium repens-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Trifolium-type","NISP","pollen","NA","Vascular plants","UPHE","Trifolium-type","NA"
"Triodanis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Triticum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Triticum-type","NISP","pollen","NA","Vascular plants","UPHE","Triticum-type","NA"
"Urtica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Urtica-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Urticaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Valeriana","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Valeriana edulis","NISP","pollen","NA","Vascular plants","UPHE","Valeriana edulis","NA"
"Verbena","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Veronica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Vicia-type","NISP","pollen","NA","Vascular plants","UPHE","Vicia-type","NA"
"Viola","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Violaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Xanthium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Xanthium-type","NISP","pollen","NA","Vascular plants","UPHE","Xanthium-type","NA"
"Xyris","NISP","pollen","NA","Vascular plants","UPHE","Xyris","NA"
"Zea","NISP","pollen","NA","Vascular plants","UPHE","Zea","NA"
"Zea mays","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Zigadenus","NISP","pollen","NA","Vascular plants","UPHE","Zigadenus","NA"
"Adiantum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Adiantum pedatum","NISP","spore","NA","Vascular plants","VACR","Adiantum pedatum","NA"
"Adiantum-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Asplenium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Asplenium-type","NISP","spore","NA","Vascular plants","VACR","Asplenium-type","NA"
"Athyrium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Athyrium filix-femina","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Athyrium-type","NISP","spore","NA","Vascular plants","VACR","Athyrium-type","NA"
"Botrychium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium cf. B. dissectum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium cf. B. lunaria","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium cf. B. multifidum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium lunaria","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium multifidum","NISP","spore","NA","Vascular plants","VACR","Botrychium multifidum","NA"
"Botrychium undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium virginianum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Botrychium-type","NISP","spore","NA","Vascular plants","VACR","Botrychium-type","NA"
"cf. Adiantum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Asplenium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Athyrium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Botrychium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Cyatheaceae","NISP","spore","NA","Vascular plants","VACR","cf. Cyatheaceae","NA"
"cf. Dennstaedtia","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Gymnocarpium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Onoclea sensibilis","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Osmunda","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"cf. Rugulatisporites quintus","NISP","spore","anachronic","Vascular plants","VACR","NA","NA"
"cf. Selaginella","NISP","spore","NA","Vascular plants","VACR","cf. Selaginella","NA"
"cf. Triplanosporites","NISP","spore","anachronic","Vascular plants","VACR","NA","NA"
